# TEMPLATE ROWS AGAINST THE CATALOG STEPS THEY CLAIM -- GENERATED, do not edit.
#
#   python tools/check_template_products.py
#
# Columns: template | verdict | steps_tried | medium | class | step | missing | reading
#
# verdict      pass | partial | wrong-product | no-fire | no-substrate |
#              no-runnable-step | no-class, at the row's best step. The tool's
#              docstring says what each means, and what this cannot say.
# steps_tried  how many catalog steps of the row's classes resolved to molecules.
# medium       yes when the verdict needed water, hydronium or hydroxide, which
#              no step lists. A concession, reported rather than assumed.
# step         the route and index the verdict was reached on.
# missing      declared products of that step the row did not make, canonical
#              SMILES, comma-joined. Empty on a pass.
# reading      written, or engine when the verdict needed the step read the way
#              the engine holds it -- a salt as its ions, a stereoisomer flat.
#
# The `#!` keys at the foot are derived from the rows above, never typed.
# `missing_because_salt` and `missing_because_stereo` are the two systematic
# walls: the catalog spells a precipitated salt as one species where the engine
# holds its ions, and it declares a stereoisomer where a template emits the flat
# species. An extractor writing literal rows off this corpus meets both.

fischer_esterification | partial | 3 | no | esterification | pet-route:1 | O=C(OCCO)c1ccc(C(=O)OCCO)cc1 | written
ether_condensation | pass | 1 | no | ether-condensation | ethanol-hydration:2 |  | written
alkene_dehydration | pass | 1 | no | dehydration | aldol-route:3 |  | engine
aerobic_oxidation | pass | 1 | no | alcohol-oxidation | salicin-hydrolysis:2 |  | written
peroxide_over_oxidation | pass | 1 | no | aldehyde-oxidation | salicin-hydrolysis:3 |  | written
sulfur_dioxide_oxidation_by_nitrogen_dioxide | pass | 1 | no | redox-oxygen-transfer | lead-chamber:2 |  | written
nitric_oxide_reoxidation | pass | 1 | no | gas-phase-oxidation | lead-chamber:3 |  | written
sulfur_combustion | pass | 1 | no | sulfur-combustion | lead-chamber:1 |  | written
sulfur_trioxide_hydration | pass | 1 | no | sulfur-trioxide-hydration | vitriol-distillation:2 |  | written
glycoside_hydrolysis | pass | 1 | no | glycoside-hydrolysis | salicin-hydrolysis:1 |  | written
aromatic_nitration | pass | 1 | no | electrophilic-aromatic-nitration | tnt-route:1 |  | written
williamson_ether_synthesis | pass | 3 | no | williamson-ether-synthesis | williamson-ether:2 |  | engine
friedel_crafts_hydroxyalkylation | pass | 1 | no | friedel-crafts-hydroxyalkylation | triarylmethane-dyes:1 |  | written
kolbe_schmitt_carboxylation | pass | 1 | no | kolbe-schmitt-carboxylation | salicylic-kolbe:2 |  | engine
saponification | pass | 2 | no | ester-hydrolysis | camphor-route:3 |  | engine
ester_hydrolysis | pass | 1 | no | ester-hydrolysis | aspirin-impurity:1 |  | written
transesterification | partial | 2 | no | transesterification | pet-route:3 | O=C(OCCO)c1ccc(C(=O)OCCO)cc1 | written
n_acylation | pass | 1 | no | n-acylation | paracetamol-route:3 |  | written
cannizzaro_disproportionation | pass | 1 | no | cannizzaro-disproportionation | cannizzaro-route:1 |  | engine
perkin_condensation | pass | 1 | no | perkin-condensation | perkin-route:1 |  | engine
knoevenagel_doebner_condensation | pass | 1 | no | knoevenagel-doebner-condensation | knoevenagel-route:1 |  | engine
alkene_hydration | pass | 1 | no | alkene-hydration | ethanol-hydration:1 |  | written
alkyne_hydration | pass | 1 | no | alkyne-hydration | acetylene-acetaldehyde:1 |  | written
alkene_hydrogenation | pass | 2 | no | alkene-hydrogenation | menthol-route:2 |  | engine
