# REACTION TEMPLATES -- pipe-separated, one row per template. Columns:
#
#   name | tier | class | phase | reversible | A | Ea_J | alpha | orders |
#   solid_catalyst | electrons | hammett_rho | hammett_slot |
#   hammett_saturation | smarts | source | notes
#
# ``tools/build_templates.py`` reads this file and emits
# ``src/chemsim/reactions/template_data.py``. Nothing under ``src/chemsim``
# reads this file at run time -- the package is installed from ``src`` alone, so
# ``data/`` is not there to read. Regenerate after every edit.
#
# ADDING A TEMPLATE IS ADDING A ROW. That is the whole point of this file: a
# template used to be a hand-written Python function, 240 catalog classes need
# ~40 sessions of them at the historical rate, and the curve was flat.
#
# ## THE COLUMNS
#
# name        the template's own name, unique in this file. It is what
#             ``Snapshot`` and every report call the reaction.
# tier        ``family`` -- a mechanism, hand-written, applying to any substrate
#             bearing the groups. ``literal`` (T2) -- extracted from one catalog
#             step, kinetics from a class policy table. A literal row is NOT
#             swept into the default library; see ``load_templates``.
# class       the ``route_steps.psv`` reaction classes this template covers,
#             joined with " + ", or empty. Several templates may carry one
#             class: that is a class covered by a FAMILY, and every member
#             carries the credit.
# phase       liquid | gas | any. ``any`` becomes two concrete reactions.
#             NOT a place to record a solid catalyst: a phase label carries a
#             STANDARD STATE, and mislabelling ammonia synthesis "solid" because
#             iron is involved is worth 2.6e10 in K at 500 K.
# reversible  yes | no. Never a free parameter -- the reverse Arrhenius pair is
#             DERIVED by detailed balance from the thermochemistry. ``yes`` is a
#             claim that the reverse is a reaction somebody runs.
# A, Ea_J     forward Arrhenius pair, SI. Every A is an order-of-magnitude
#             choice for the molecularity unless the source cell says otherwise;
#             every Ea is a literature band midpoint, and the ORDERING between
#             two templates is the load-bearing part. Do not read a simulated
#             reaction TIME as a prediction.
# alpha       Evans-Polanyi transfer coefficient in [0, 1]. With it non-zero,
#             Ea_J is the INTRINSIC barrier and each member of the family gets
#             Ea + alpha*dH. Mutually exclusive with hammett_rho.
# orders      one rate-law exponent per reactant SLOT of the SMARTS, joined with
#             ",", or empty for ordinary mass action. A declared order says the
#             written reaction is NOT elementary, so it may not be reversible.
# solid_catalyst  a ``mineral_data`` name whose crystal must be present, or
#             empty. A gate, not a phase, and A is already rescaled by
#             SOLID_CATALYST_REFERENCE where one is declared.
# electrons   electrons across the EXTERNAL CIRCUIT per reaction as written.
#             Non-zero makes this an electrode reaction driven by n F E.
# hammett_rho, hammett_slot, hammett_saturation
#             the substituent-aware barrier (G2, G6), on the sigma-PLUS scale.
#             rho 0 is exactly the pre-G2 engine.
# smarts      atom-mapped reaction SMARTS, "reactants>>products". The
#             transformation is chemistry and its SPECIFICITY is the selectivity
#             mechanism. A homogeneous catalyst is written into BOTH sides with
#             map number 99, which raises its mass-action exponent to 1 and
#             cancels it out of the stoichiometry -- so it gates both directions
#             and cannot move the equilibrium.
# source      where the barrier came from. One line, not a paragraph.
# notes       the wrinkle a reader needs, or empty.
#
# ## AN EMPTY OPTIONAL CELL MEANS THE ``ReactionTemplate`` DEFAULT
#
# and the generator reads those defaults off the dataclass rather than repeating
# them here, so there is one place a default lives. That is why alpha, orders,
# solid_catalyst, electrons and the hammett triple are blank on most rows.
#
# ## WHAT IS NOT HERE, AND WILL NOT BE
#
# No reverse rate, no equilibrium constant, no pKa, no boiling point. Detailed
# balance derives all of them from the thermochemistry; a declared one would be
# a free parameter that silently contradicts it. If a reaction runs to the wrong
# equilibrium the formation data is wrong -- fix that.
#
# The 13 classes ``catalog_coverage`` credits to integrator TERMS -- calcination,
# roasting, precipitation and the rest -- have no row here and cannot have one.
# A lattice is not a graph, so there is no SMARTS to write.
#
# ## THE SMARTS COLUMN IS LAST BUT ONE FOR A REASON
#
# It runs to 200 characters on the fermentations, and putting it third (where
# the spec had it) buries every numeric column past the fold.

fischer_esterification | family | esterification | liquid | yes | 5e+07 | 55000 |  |  |  |  |  |  |  | [CX3:1](=[O:2])[OX2H1:3].[OX2H1:4][CX4:5]>>[CX3:1](=[O:2])[O:4][CX4:5].[OH2:3] | Ea band 50-60 kJ/mol, acid-catalysed/autocatalysed Fischer esterification | the hydrolysis is the derived reverse; the catalysed form is library.esterification(catalyst=...)
ether_condensation | family | ether-condensation | liquid | no | 1e+11 | 125000 |  |  |  |  |  |  |  | [CX4:1][OX2H1:2].[CX4:3][OX2H1:4]>>[C:1][O:2][C:3].[OH2:4] | Ea band 100-130 kJ/mol, bimolecular ether route | must stay BELOW alkene_dehydration: ethanol gives ether at 140 C and ethylene at 180 C
alkene_dehydration | family | dehydration | liquid | no | 1e+13 | 160000 |  |  |  |  |  |  |  | [CX4;!H0:1][CX4:2][OX2H1:3]>>[C:1]=[C:2].[OH2:3] | Ea band 145-170 kJ/mol, unimolecular E1 | irreversible: it eliminates into a large excess of water
aerobic_oxidation | family | alcohol-oxidation | liquid | no | 1e+09 | 65000 |  |  |  |  |  |  |  | [CX4;!H0:1][OX2H1:2].[OX1:3]=[OX1:4]>>[C:1]=[O:2].[OX2H1:3][OX2H1:4] | Ea ~65 kJ/mol, uncatalysed autoxidation | written to H2O2 rather than half an O2; the peroxide then over-oxidises
peroxide_over_oxidation | family | aldehyde-oxidation | liquid | no | 1e+08 | 50000 |  |  |  |  |  |  |  | [CX3H1:1]=[OX1:2].[OX2H1:3][OX2H1:4]>>[CX3:1](=[O:2])[OX2H1:3].[OH2:4] | Ea ~50 kJ/mol, peroxide oxidation of an aldehyde | aldehyde only: a ketone has no carbonyl H, so isopropanol stops at acetone
sulfur_dioxide_oxidation_by_nitrogen_dioxide | family | redox-oxygen-transfer | gas | yes | 1e+09 | 40000 |  |  |  |  |  |  |  | [O:1]=[S:2]=[O:3].[N+:4](=[O:5])[O-:6].[OX2H2:7]>>[O:1]=[S:2](=[O:3])([O+0;H1:6])[O:7].[N+0;H0:4]=[O:5] | Ea band 30-50 kJ/mol, SO2 oxidation by NO2 | an apparent barrier standing in for a reaction that really runs in a droplet
nitric_oxide_reoxidation | family | gas-phase-oxidation | gas | yes | 4.35e+10 | -4400 |  |  |  |  |  |  |  | [N;H0:1]=[O:2].[N;H0:3]=[O:4].[OX1:5]=[OX1:6]>>[N+1;H0:1](=[O:2])[O-:5].[N+1;H0:3](=[O:4])[O-:6] | Ea = -R*530 = -4.4 kJ/mol, measured; the rate RISES as it cools | elementary and genuinely termolecular; the negative barrier is the datum
sulfur_combustion | family | sulfur-combustion | gas | no | 1e+10 | 100000 |  | 1,1,0,0,0,0,0,0,0 |  |  |  |  |  | [S:1]1[S:2][S:3][S:4][S:5][S:6][S:7][S:8]1.[OX1:9]=[OX1:10].[OX1:11]=[OX1:12].[OX1:13]=[OX1:14].[OX1:15]=[OX1:16].[OX1:17]=[OX1:18].[OX1:19]=[OX1:20].[OX1:21]=[OX1:22].[OX1:23]=[OX1:24]>>[O:9]=[S:1]=[O:10].[O:11]=[S:2]=[O:12].[O:13]=[S:3]=[O:14].[O:15]=[S:4]=[O:16].[O:17]=[S:5]=[O:18].[O:19]=[S:6]=[O:20].[O:21]=[S:7]=[O:22].[O:23]=[S:8]=[O:24] | A pinned at the order of the gas-kinetic collision limit (~1e11); Ea 100 kJ/mol is then the only freedom, set so the burn is complete above ignition and negligible cold | declared orders: first in S8, first in O2, because S8 + 8 O2 is not elementary. The 500 K threshold is SOFT and is stated, not tuned
sulfur_trioxide_hydration | family | sulfur-trioxide-hydration | gas | yes | 1e+10 | 23600 |  |  |  |  |  |  |  | [OX1:1]=[SX3:2](=[OX1:3])=[OX1:4].[OX2H2:5]>>[O:1]=[S:2](=[O:3])([O;H1:4])[O;H1:5] | A at the order of the collision limit; Ea 23.6 kJ/mol puts k(298) at 7.3e5 L/(mol s), the ORDER of the reported effective constant (recalled, not sourced in this repo) | measured in the receiver: the answer does not depend on either number
glycoside_hydrolysis | family | glycoside-hydrolysis | liquid | no | 1e+11 | 107000 |  |  |  |  |  |  |  | [CX4;R:1]([OX2;R:2])[OX2;!R:3][#6:4].[OX2H2:5]>>[C:1]([O:2])[OX2H1:5].[OX2H1:3][#6:4] | Ea band 100-115 kJ/mol, acid-catalysed inversion of sucrose | A is 1e11 rather than the ~1e15 the measured rate implies, because the acid pre-equilibrium is folded into the barrier
aromatic_nitration | family | electrophilic-aromatic-nitration | liquid | no | 1e+10 | 60000 |  |  |  |  | -6.5 |  |  | [cH:1].[OX2H1:2][N+:3](=[O:4])[O-:5]>>[c:1][N+:3](=[O:4])[O-:5].[OX2H2:2] | Ea band 50-70 kJ/mol, nitration in mixed acid; rho -6.5 on the sigma-PLUS scale, Brown-Okamoto band -6.0 to -7.0 | hammett_rho is what makes nitration a PROCESS: a nitrated ring is deactivated, so the stages separate
williamson_ether_synthesis | family | williamson-ether-synthesis | liquid | no | 1e+09 | 85000 |  |  |  |  |  |  |  | [#6:4][O-;X1:1].[CX4:2][F,Cl,Br,I:3]>>[#6:4][O+0:1][C:2].[F,Cl,Br,I;-:3] | Ea band 80-95 kJ/mol, SN2 of an alkoxide or phenoxide on an alkyl halide | irreversible: the halide leaves as an anion nothing here attacks
friedel_crafts_hydroxyalkylation | family | friedel-crafts-hydroxyalkylation | liquid | no | 1e+08 | 65000 |  |  |  |  |  |  |  | [cH:1].[cH:2].[CX3:3]=[OX1:4]>>[c:1][C:3][c:2].[OX2H2:4] | Ea band 60-75 kJ/mol, bisphenol-A literature (phenol + acetone) | 
kolbe_schmitt_carboxylation | family | kolbe-schmitt-carboxylation | liquid | yes | 1e+08 | 90000 |  |  |  |  |  |  |  | [O-:1][c:2][cH:3].[CX2:4](=[OX1:5])=[OX1:6]>>[OX2H1;+0:1][c:2][c:3][C:4](=[O:5])[O-:6] | Ea band 85-95 kJ/mol, Kolbe-Schmitt carboxylation of sodium phenoxide | 
saponification | family | ester-hydrolysis + saponification | liquid | no | 1e+08 | 46000 |  |  |  |  |  |  |  | [CX3:1](=[O:2])[OX2:3][#6:4].[OH-:5]>>[CX3:1](=[O:2])[O-:5].[OX2H1:3][#6:4] | Ea band 45-48 kJ/mol, ethyl acetate + hydroxide, one of the best-measured rate constants in chemistry | irreversible: it ends on a carboxylate, and an alcohol does not attack one
ester_hydrolysis | family | ester-hydrolysis | liquid | yes | 1e+08 | 70000 |  |  |  |  |  |  |  | [CX3:1](=[O:2])[OX2:3][#6;!$([CX3]=[OX1]):4].[OX2H2:5]>>[CX3:1](=[O:2])[OX2H1:5].[OX2H1:3][#6:4] | Ea band 65-80 kJ/mol, aspirin hydrolysis | declared in the hydrolysis direction because discovery runs templates FORWARD only
transesterification | family | transesterification | liquid | yes | 1e+07 | 55000 |  |  |  |  |  |  |  | [CX3:1](=[O:2])[OX2:3][CX4:4].[OX2H1:5][CX4:6]>>[CX3:1](=[O:2])[O:5][C:6].[OX2H1:3][C:4] | Ea band 50-70 kJ/mol, base-catalysed methanolysis of a triglyceride | 
n_acylation | family | n-acylation | liquid | no | 1e+08 | 45000 |  |  |  |  |  |  |  | [NX3;H1,H2;!$(N[#6]=[O,S,N]):6].[CX3:1](=[O:2])[OX2:3][CX3:4]=[O:5]>>[N:6][C:1]=[O:2].[OX2H1:3][C:4]=[O:5] | Ea band 40-55 kJ/mol, aminolysis of acetic anhydride | 
cannizzaro_disproportionation | family | cannizzaro-disproportionation | liquid | no | 1e+07 | 55000 |  |  |  |  |  |  |  | [c:3][CX3H1:1]=[OX1:2].[c:6][CX3H1:4]=[OX1:5].[OH-:7]>>[c:3][CH2:1][OX2H1:2].[c:6][C:4](=[O:5])[O-:7] | Ea band 50-60 kJ/mol, benzaldehyde in concentrated hydroxide | 
perkin_condensation | family | perkin-condensation | liquid | no | 1e+09 | 95000 |  |  |  |  |  |  |  | [c:1][CX3H1:2]=[OX1:3].[CH3:4][CX3:5](=[O:6])[OX2:7][CX3:8]=[O:9]>>[c:1][CH:2]=[CH:4][C:5](=[O:6])[OX2H1:7].[OX2H1:3][C:8]=[O:9] | Ea band 90-105 kJ/mol; the Perkin reaction needs 450 K for 8 hours, which is what a barrier near 100 kJ/mol looks like | 
knoevenagel_doebner_condensation | family | knoevenagel-doebner-condensation | liquid | no | 1e+08 | 70000 |  |  |  |  |  |  |  | [c:1][CX3H1:2]=[OX1:3].[CX4H2:4]([CX3:5](=[O:6])[OX2H1:7])[CX3:8](=[O:9])[OX2H1:10]>>[c:1][CH:2]=[CH:4][C:5](=[O:6])[O:7].[C:8](=[O:9])=[O:10].[OX2H2:3] | Ea band 60-80 kJ/mol, amine-catalysed Doebner condensation | 
alkene_hydration | family | alkene-hydration | liquid | yes | 1e+10 | 80000 |  |  |  |  |  |  |  | [CX3:1]=[CX3:2].[OX2H2:3]>>[C:1][C:2][OX2H1:3] | Ea band 75-90 kJ/mol, direct hydration of ethylene over phosphoric acid | 
alkyne_hydration | family | alkyne-hydration | liquid | no | 1e+09 | 70000 |  |  |  |  |  |  |  | [CX2:1]#[CX2:2].[OX2H2:3]>>[C:1](=[O:3])[C:2] | Ea band 65-80 kJ/mol, mercury(II)-catalysed | 
alkene_hydrogenation | family | alkene-hydrogenation | liquid | no | 1e+08 | 50000 |  |  | nickel |  |  |  |  | [CX3:1]=[CX3:2].[H:3][H:4]>>[C:1]([H:3])[C:2][H:4] | Ea band 40-60 kJ/mol, heterogeneous alkene hydrogenation over nickel or palladium | A is the declared 1e7 divided by SOLID_CATALYST_REFERENCE = 0.1, so the catalysed and uncatalysed forms agree at that charge
nitro_hydrogenation | family | nitro-hydrogenation | liquid | no | 1e+06 | 50000 |  |  | nickel |  |  |  |  | [c:1][N+:2](=[O:3])[O-:4].[H:5][H:6].[H:7][H:8].[H:9][H:10]>>[c:1][N+0:2]([H:5])[H:6].[O+0:3]([H:7])[H:8].[O+0:4]([H:9])[H:10] | Ea band 40-60 kJ/mol, nitrobenzene hydrogenation over nickel or copper | A rescaled by SOLID_CATALYST_REFERENCE as above
