# ROUTE HEADERS -- pipe-separated. Columns:
#   route_id | name | era | domain | target | notes
# era: ancient | alchemical | 1700s | 1800s | 1900s | modern
# The FEEDSTOCK / INTERMEDIATE / PRODUCT split is NOT declared here. It is derived
# from route_steps.psv by tools/build_catalog.py: a species consumed but never
# produced inside the route is a primary feedstock; one both produced and consumed
# is an intermediate; one produced and never consumed is a product or byproduct.
# Declaring it would let the declaration drift from the steps; deriving it cannot.
lead-chamber | lead chamber sulfuric acid | 1700s | heavy-inorganic | sulfuric-acid | the NOx carrier cycle; already implemented in reactions/library
contact-process | contact process sulfuric acid | 1800s | heavy-inorganic | sulfuric-acid | V2O5 catalysed SO2 oxidation
vitriol-distillation | distillation of green vitriol | alchemical | heavy-inorganic | sulfuric-acid | the oldest sulfuric acid route
pyrite-roasting | pyrite roasting to SO2 | 1800s | heavy-inorganic | sulfur-dioxide | the sulfur source before Frasch
claus-process | Claus sulfur recovery | 1900s | heavy-inorganic | sulfur-s8 | H2S to elemental sulfur
leblanc-process | Leblanc soda process | 1700s | heavy-inorganic | sodium-carbonate | salt cake, black ash, galligu waste
solvay-process | Solvay ammonia-soda process | 1800s | heavy-inorganic | sodium-carbonate | ammonia recycled, calcium chloride wasted
chloralkali | chloralkali electrolysis | 1800s | heavy-inorganic | sodium-hydroxide | co-produces chlorine and hydrogen
lime-cycle | limestone calcination and slaking | ancient | heavy-inorganic | calcium-oxide | the mortar cycle
haber-bosch | Haber-Bosch ammonia | 1900s | heavy-inorganic | ammonia | the nitrogen fixation that fed the century
ostwald-process | Ostwald nitric acid | 1900s | heavy-inorganic | nitric-acid | ammonia to NO to NO2 to HNO3
birkeland-eyde | Birkeland-Eyde arc process | 1900s | heavy-inorganic | nitric-acid | superseded by Haber plus Ostwald
saltpetre-nitric | nitric acid from saltpetre | alchemical | heavy-inorganic | nitric-acid | aqua fortis by distillation with vitriol
aqua-regia | aqua regia | alchemical | heavy-inorganic | nitrosyl-chloride | the gold solvent
frank-caro | Frank-Caro cyanamide process | 1900s | heavy-inorganic | calcium-cyanamide | nitrogen fixation via carbide
andrussow | Andrussow HCN process | 1900s | heavy-inorganic | hydrogen-cyanide | methane, ammonia and air over platinum
deacon-process | Deacon chlorine process | 1800s | heavy-inorganic | chlorine | HCl reoxidation over copper
weldon-chlorine | Weldon chlorine from pyrolusite | 1800s | heavy-inorganic | chlorine | MnO2 plus HCl
bleaching-powder | bleaching powder manufacture | 1800s | heavy-inorganic | calcium-hypochlorite | Tennant chlorinated lime
hypochlorite-bleach | sodium hypochlorite bleach | 1900s | heavy-inorganic | sodium-hypochlorite | chlorine into caustic
phosphoric-wet | wet-process phosphoric acid | 1900s | heavy-inorganic | phosphoric-acid | phosphate rock plus sulfuric acid; gypsum byproduct
